23
0, 12, (9078,  9069)
1, 13, (9078,  9069)
2, 13, (9078,  9069)
3, 13, (9078,  9069)
4, 13, (9078,  9069)
5, 13, (9078,  9069)
6, 13, (9078,  9069)
7, 14, (9078,  9069)
8, 12, (7298,  8100)
9, 13, (9078,  9069)
10, 13, (9078,  9069)
11, 13, (9078,  9069)
12, 14, (9078,  9069)
13, 14, (9078,  9069)
14, 13, (9078,  9069)
15, 14, (9078,  9069)
16, 13, (9078,  9069)
17, 14, (9078,  9069)
18, 14, (9078,  9069)
19, 14, (9078,  9069)
20, 14, (9078,  9069)
21, 15, (9078,  9069)
22, 14, (9078,  9069)
23, 15, (9078,  9069)
24, 14, (9078,  9069)
25, 14, (9078,  9069)
26, 14, (9078,  9069)
27, 15, (9078,  9069)
28, 14, (9078,  9069)
29, 14, (9078,  9069)
30, 14, (9078,  9069)
31, 13, (9078,  9069)
32, 14, (9078,  9069)
33, 15, (9078,  9069)
34, 13, (9078,  9069)
35, 14, (9078,  9069)
36, 14, (9078,  9069)
37, 13, (9078,  9069)
38, 14, (9078,  9069)
39, 15, (9078,  9069)
40, 15, (9078,  9069)
41, 14, (9078,  9069)
42, 14, (9078,  9069)
43, 14, (9078,  9069)
44, 14, (9078,  9069)
45, 16, (9078,  9069)
46, 14, (9078,  9069)
47, 14, (9078,  9069)
48, 15, (9078,  9069)
49, 13, (9078,  9069)
50, 14, (9078,  9069)
51, 14, (9078,  9069)
52, 14, (9078,  9069)
53, 15, (9078,  9069)
54, 14, (9078,  9069)
55, 13, (9078,  9069)
56, 13, (9078,  9069)
57, 15, (9078,  9069)
58, 15, (9078,  9069)
59, 14, (9078,  9069)
60, 15, (9078,  9069)
61, 15, (9078,  9069)
62, 13, (9078,  9069)
63, 15, (9078,  9069)
64, 15, (9078,  9069)
65, 15, (9078,  9069)
66, 15, (9078,  9069)
67, 15, (9078,  9069)
68, 14, (9078,  9069)
69, 16, (9078,  9069)
70, 15, (9078,  9069)
71, 14, (9078,  9069)
72, 13, (9078,  9069)
73, 13, (7298,  8100)
74, 15, (9078,  9069)
75, 14, (9078,  9069)
76, 15, (9078,  9069)
77, 16, (9078,  9069)
78, 14, (9078,  9069)
79, 14, (9078,  9069)
80, 14, (9078,  9069)
81, 14, (9078,  9069)
82, 14, (9078,  9069)
83, 14, (9078,  9069)
84, 16, (9078,  9069)
85, 14, (9078,  9069)
86, 15, (9078,  9069)
87, 15, (9078,  9069)
88, 14, (9078,  9069)
89, 13, (9078,  9069)
90, 14, (9078,  9069)
91, 15, (9078,  9069)
92, 14, (9078,  9069)
93, 15, (9078,  9069)
94, 16, (9078,  9069)
95, 14, (9078,  9069)
96, 17, (9078,  9069)
97, 14, (9078,  9069)
98, 15, (9078,  9069)
99, 14, (9078,  9069)
100, 13, (7298,  8100)
101, 15, (9078,  9069)
102, 16, (9078,  9069)
103, 13, (7298,  8100)
104, 14, (9078,  9069)
105, 16, (9078,  9069)
106, 13, (9078,  9069)
107, 14, (9078,  9069)
108, 14, (9078,  9069)
109, 15, (9078,  9069)
110, 14, (9078,  9069)
111, 15, (9078,  9069)
112, 15, (9078,  9069)
113, 16, (9078,  9069)
114, 16, (9078,  9069)
115, 16, (9078,  9069)
116, 15, (9078,  9069)
117, 15, (9078,  9069)
118, 15, (9078,  9069)
119, 16, (9078,  9069)
120, 13, (9078,  9069)
121, 16, (9078,  9069)
122, 13, (9078,  9069)
123, 16, (9078,  9069)
124, 14, (9078,  9069)
125, 15, (9078,  9069)
126, 16, (9078,  9069)
127, 16, (9078,  9069)
128, 13, (9078,  9069)
129, 14, (9078,  9069)
130, 15, (9078,  9069)
131, 16, (9078,  9069)
132, 16, (9078,  9069)
133, 14, (7298,  8100)
