9
0, 5, (92)
1, 6, (92)
2, 6, (92)
3, 6, (92)
4, 5, (81)
5, 6, (92)
6, 6, (92)
7, 6, (92)
8, 6, (92)
9, 6, (92)
10, 6, (92)
11, 6, (92)
12, 7, (92)
13, 7, (92)
14, 6, (81)
15, 6, (92)
16, 7, (92)
17, 7, (92)
18, 6, (92)
19, 7, (92)
20, 6, (81)
21, 6, (92)
22, 6, (92)
23, 6, (92)
24, 6, (81)
25, 6, (92)
26, 6, (92)
27, 6, (92)
28, 6, (92)
29, 7, (92)
30, 6, (81)
31, 6, (92)
32, 6, (92)
33, 7, (92)
34, 7, (92)
35, 7, (92)
36, 7, (92)
37, 6, (92)
38, 7, (92)
39, 8, (92)
40, 6, (92)
41, 7, (92)
42, 7, (92)
43, 8, (92)
44, 6, (92)
45, 8, (92)
46, 7, (92)
47, 6, (81)
48, 6, (92)
49, 8, (92)
50, 6, (92)
51, 6, (92)
52, 7, (92)
53, 8, (92)
54, 7, (92)
55, 7, (81)
56, 8, (92)
57, 7, (92)
58, 7, (92)
59, 8, (92)
60, 7, (92)
61, 7, (92)
62, 6, (92)
63, 6, (81)
64, 7, (92)
65, 7, (92)
66, 8, (92)
67, 7, (92)
68, 7, (92)
69, 8, (92)
70, 8, (92)
71, 7, (81)
72, 7, (92)
73, 8, (81)
74, 7, (81)
75, 6, (92)
76, 6, (81)
77, 7, (92)
78, 8, (92)
79, 6, (92)
80, 7, (92)
81, 9, (92)
82, 7, (92)
83, 7, (92)
84, 6, (92)
85, 7, (92)
86, 8, (92)
87, 7, (92)
88, 8, (92)
89, 6, (81)
90, 6, (92)
91, 8, (92)
92, 9, (81)
93, 7, (92)
94, 7, (92)
95, 7, (92)
96, 7, (92)
97, 6, (92)
98, 6, (81)
99, 8, (92)
